Time,Hit_the_best_bid_or_lift_the_best_ask,Customer_order,Bid_ask,Mid_price,Micro_price,Best_bid,Best_ask,Time_elapsed,LOB_Imbalance,Total_quantity,P,Smith_metric,Trade_price
2.0000 ,0,137,910,544,771.5000 ,89,999,0.0000 ,0.5000 ,4,0.0000 ,0.0000 ,137
7.0250 ,0,106,8,93,92.6364 ,89,97,5.0250 ,0.5000 ,11,0.0000 ,0.0000 ,90
7.0500 ,1,96,30,82,79.0000 ,67,97,0.0250 ,0.6667 ,10,0.0000 ,0.0000 ,89
11.1125 ,0,144,10,88,87.4444 ,83,93,4.0625 ,0.6667 ,18,93.6567 ,422.7540 ,83
12.7375 ,1,139,9,89.5,88.3750 ,85,94,1.6250 ,0.5000 ,24,78.6667 ,435.5288 ,93
13.6875 ,0,111,7,90.5,89.8519 ,87,94,0.9500 ,0.5000 ,27,79.9300 ,383.1083 ,92
15.5875 ,1,116,9,96.5,95.2143 ,92,101,1.9000 ,0.5000 ,28,80.9767 ,344.9081 ,94
16.3375 ,0,150,6,98,97.4000 ,95,101,0.7500 ,0.5000 ,30,84.0433 ,307.1081 ,99
17.6250 ,0,119,6,98,97.7273 ,95,101,1.2875 ,0.5000 ,33,86.0400 ,280.1203 ,96
17.6875 ,1,98,11,95.5,94.8125 ,90,101,0.0625 ,0.5000 ,32,87.0800 ,260.5911 ,95
17.7500 ,1,142,16,98,96.7097 ,90,106,0.0625 ,0.5000 ,31,87.1967 ,246.7352 ,101
18.1375 ,0,108,9,93.5,92.7742 ,89,98,0.3875 ,0.5000 ,31,88.0867 ,232.7000 ,95
18.8125 ,1,129,15,90.5,89.0000 ,83,98,0.6750 ,0.5000 ,30,87.6167 ,223.9622 ,89
23.5125 ,1,134,20,93,91.1250 ,83,103,4.7000 ,0.5000 ,32,85.4367 ,220.7489 ,98
24.4500 ,0,101,19,92.5,90.7188 ,83,102,0.9375 ,0.5000 ,32,85.0167 ,213.7845 ,86
25.1500 ,1,147,20,93,91.3871 ,83,103,0.7000 ,0.5000 ,31,82.0967 ,213.9032 ,102
25.6500 ,0,126,10,98,97.2424 ,93,103,0.5000 ,0.5000 ,33,86.2600 ,197.1190 ,102
26.5375 ,1,93,20,93,91.7500 ,83,103,0.8875 ,0.5000 ,32,87.8200 ,187.7456 ,93
27.0000 ,1,114,23,94.5,92.7576 ,83,106,0.4625 ,0.5000 ,33,89.1400 ,179.7571 ,103
30.2750 ,0,132,14,99,98.2632 ,92,106,3.2750 ,0.5000 ,38,89.7733 ,173.7169 ,105
31.5500 ,1,124,15,98.5,98.8947 ,91,106,1.2750 ,0.5000 ,38,91.0100 ,166.9434 ,92
34.1375 ,0,103,15,98.5,98.1250 ,91,106,2.5875 ,0.5000 ,40,89.9767 ,164.7190 ,94
34.4125 ,1,91,16,98,97.3846 ,90,106,0.2750 ,0.5000 ,39,87.2833 ,165.8394 ,91
37.7625 ,0,121,12,99,98.7000 ,93,105,3.3500 ,0.7500 ,40,83.3733 ,169.7533 ,93
40.2000 ,0,114,4,99,99.0000 ,97,101,2.4375 ,0.5000 ,40,83.6800 ,165.5164 ,100
42.7500 ,0,98,2,98,97.9524 ,97,99,2.5500 ,0.5000 ,42,85.8033 ,158.1097 ,98
42.8500 ,1,137,9,101.5,101.2750 ,97,106,0.1000 ,0.5000 ,40,87.7767 ,151.5178 ,99
43.3500 ,1,129,13,99.5,99.1579 ,93,106,0.5000 ,0.5000 ,38,89.4000 ,145.9323 ,97
47.6375 ,0,144,5,101.5,101.5556 ,99,104,4.2875 ,0.5000 ,45,88.4933 ,144.7346 ,100
48.6625 ,0,106,3,103.5,103.6000 ,102,105,1.0250 ,0.5000 ,45,89.1633 ,141.1024 ,103
49.1000 ,0,119,2,103,103.0909 ,102,104,0.4375 ,0.5000 ,44,90.5233 ,136.5954 ,103
49.1125 ,1,139,4,104,104.1395 ,102,106,0.0125 ,0.5000 ,43,92.2333 ,131.8390 ,104
49.3000 ,1,124,6,103,103.2195 ,100,106,0.1875 ,0.5000 ,41,93.3767 ,128.1300 ,102
53.2875 ,0,147,2,103,102.9787 ,102,104,3.9875 ,0.6000 ,47,93.0100 ,126.6337 ,102
53.7625 ,1,111,2,103,103.0000 ,102,104,0.4750 ,0.4000 ,46,92.6800 ,125.1678 ,104
54.0875 ,1,126,2,103,103.0222 ,102,104,0.3250 ,0.3333 ,45,92.8067 ,123.1669 ,104
54.4500 ,1,108,5,103.5,103.6136 ,101,106,0.3625 ,0.6667 ,44,93.4067 ,120.6349 ,102
55.3375 ,1,134,7,104.5,104.5814 ,101,108,0.8875 ,0.7500 ,43,93.2800 ,119.1261 ,106
56.3000 ,1,116,10,106,106.1220 ,101,111,0.9625 ,0.7500 ,41,94.0133 ,116.6018 ,108
58.7625 ,1,150,5,103.5,103.7907 ,101,106,2.4625 ,0.7500 ,43,95.3400 ,113.4650 ,101
61.4000 ,0,126,13,107.5,107.6667 ,101,114,2.6375 ,0.5000 ,39,94.6867 ,112.7871 ,111
61.5375 ,1,101,14,107,107.3684 ,100,114,0.1375 ,0.6667 ,38,96.4600 ,109.3257 ,101
63.4250 ,0,134,14,107,107.8537 ,100,114,1.8875 ,0.8000 ,41,94.2367 ,110.5370 ,108
64.1500 ,1,132,12,106,106.7317 ,100,112,0.7250 ,0.8000 ,41,96.2700 ,106.9104 ,100
68.6000 ,0,144,2,105,105.0870 ,104,106,4.4500 ,0.6667 ,46,93.0033 ,109.3767 ,105
68.7250 ,0,142,2,105,105.0667 ,104,106,0.1250 ,0.6667 ,45,94.1600 ,106.8065 ,105
68.9375 ,1,121,2,105,105.0952 ,104,106,0.2125 ,0.6667 ,42,93.5000 ,106.3663 ,104
69.2375 ,1,150,3,104.5,104.6098 ,103,106,0.3000 ,0.5000 ,41,94.5167 ,104.0793 ,104
